Node,Community,Proximity to SOD1,Relative subgraph centrality,Subgraph centrality,Participation coefficient
4932.Q0010,0,4,2.9462879456033236e-10,1.0001699824387054,0.0
4932.YPL135W,1,2,4.039358438263449e-05,1.0004854891067239,0.4421487603305785
4932.Q0017,0,4,2.677366368837369e-10,1.0001725363341074,0.0
4932.YOL103W,2,4,6.34671646834728e-10,1.0000404385569246,0.0
4932.YJR122W,1,3,1.1833996572674366e-06,1.000381740724893,0.421875
4932.YGL043W,3,3,1.1904994666907107e-07,1.0008879952914616,0.4806428049671293
4932.YDR020C,4,3,4.6642723882349413e-07,1.0002020749700922,0.62
4932.Q0143,0,4,2.893318862490571e-10,1.0001759850333989,0.0
4932.YBR031W,5,3,3.7383029342123123e-06,1.0060519481184114,0.14611678004535145
4932.Q0045,6,2,6.56032789730696e-05,1.0014509061919192,0.03570247933884296
4932.Q0105,6,2,2.4210962032335048e-05,1.0016758508161374,0.06011834319526632
4932.Q0092,0,3,1.7003621954951543e-07,1.000228779326596,0.6115702479338843
4932.Q0160,10,3,3.445997786937741e-07,1.0001839652125946,0.49382716049382713
4932.Q0182,0,4,2.81492429355084e-10,1.0001727540482213,0.0
4932.Q0297,0,4,2.4205396617193314e-10,1.0001677187253186,0.0
4932.YDR012W,5,3,3.7732969639474572e-06,1.0053497033770356,0.16820987654320985
4932.YDL020C,8,2,2.1373186184023047e-05,1.0002658603610897,0.272189349112426
4932.YDL114W,6,4,1.3381630634308472e-09,1.0001339300524685,0.7346938775510203
4932.YLL027W,1,2,2.2393701103246613e-05,1.000423485693595,0.3765432098765432
4932.Q0142,0,5,2.1608433358605295e-12,1.0001338494474825,0.0
4932.YBL091C,18,4,4.180561319322949e-09,1.0001587266818253,0.6111111111111112
4932.Q0032,0,4,2.830743467600755e-10,1.000173896875972,0.0
4932.YPR067W,1,3,1.2151975108834565e-06,1.0003876413922794,0.421875
4932.Q0085,6,2,2.1710709855065767e-05,1.0016425784137832,0.11786982248520705
4932.YPL069C,6,4,1.611226140138186e-09,1.000157716885331,0.653061224489796
4932.YML063W,5,3,4.861428767068609e-06,1.005996922647895,0.21786367384990502
4932.YLR089C,4,2,9.290125136074152e-05,1.0005547207024952,0.15039999999999998
4932.YKL211C,4,2,2.043104324333844e-05,1.0013594642356005,0.21445847890352054
4932.YLR441C,5,3,4.811685028782253e-06,1.0063829628578966,0.1747136481383228
4932.YKL001C,4,2,2.2324540233174898e-05,1.000615865054313,0.272189349112426
4932.YKL149C,12,4,8.326311450208845e-10,1.0000667685434546,0.0
4932.YIL099W,7,3,1.049771609070078e-06,1.0003953704227335,0.6328125
4932.YAL058W,8,2,1.8073614593314922e-05,1.0007428297034209,0.6483011937557392
4932.YLL052C,3,7,5.650793960358669e-16,1.0000282345491782,0.0
4932.YML120C,6,2,2.393701980714831e-05,1.001123973279418,0.4369834710743802
4932.YOR187W,13,3,7.836606219795389e-06,1.0024138578284199,0.669727578818488
4932.YDL202W,13,2,3.4174502189289165e-05,1.001672909962207,0.48918685121107264
